"community_name","average_exhibition_period","HuoFang_rate","price_adjustment_num","price_adjustment_average","community_other_price","community_other_num","community_other_floor","community_other_area","community_average_price","community_average_area","community_average_floor","community_average_AreaPrice","business_district","business_district_sales_num","business_district_other_price","business_district_other_num","business_district_other_floor","business_district_other_area","business_district_average_price","business_district_average_area","business_district_average_floor","business_district_average_AreaPrice"
"宝钢又一村",8.50141684084993,"无",1,140,5290,2,26,25.9,2645,12.95,13,204.247104247104,"大连路",15,41510,15,287,185.77,2767.33333333333,12.3846666666667,19.1333333333333,223.448350110351
"凤凰景苑",5.71672654148408,"无",4,232.5,12690,7,112,91.7,1812.85714285714,13.1,16,138.386041439477,"东川路",42,69530,42,365,546.05,1655.47619047619,13.0011904761905,8.69047619047619,127.332661844153
"新明星花园",4.62357361854709,"无",3,293.333333333333,18890,8,58,103.9,2361.25,12.9875,7.25,181.809432146295,"航中路",32,71869,32,217,426.25,2245.90625,13.3203125,6.78125,168.607624633431
"中信中山大楼",3.99691654592339,"无",1,470,5450,2,40,24.2,2725,12.1,20,225.206611570248,"上海体育场",34,100458,34,599,410.46,2954.64705882353,12.0723529411765,17.6176470588235,244.744920333285
"万里雅筑",5.68777509562119,"无",3,260,8050,3,49,56.1,2683.33333333333,18.7,16.3333333333333,143.49376114082,"上海西站",81,203318,81,960,1089.84,2510.0987654321,13.4548148148148,11.8518518518519,186.557659839977
"祥和星宇花园(公寓)",9.75068254842526,"无",2,70,18010,8,96,109.7,2251.25,13.7125,12,164.175022789426,"李子园",33,69860,33,340,405.1,2116.9696969697,12.2757575757576,10.3030303030303,172.451246605776
"誉品谷水湾",7.001060875651,"无",2,640.5,13125,12,193,152.3,1093.75,12.6916666666667,16.0833333333333,86.1785948785292,"松江大学城",114,193465,114,1817,1474.72,1697.06140350877,12.9361403508772,15.9385964912281,131.18761527612
"芳芯路251弄",23.1139406691121,"无",5,236,16610,7,98,66.7,2372.85714285714,9.52857142857143,14,249.025487256372,"芳华路",84,190510,84,692,1089.85,2267.97619047619,12.9744047619048,8.23809523809524,174.80387209249
"南塑新村",12.4874465064691,"无",1,160,5230,4,24,53,1307.5,13.25,6,98.6792452830189,"迈皋桥",173,230520,173,2647,2076.65,1332.48554913295,12.0037572254335,15.3005780346821,111.005706305829
"远景佳苑二期",5.80317132815719,"无",2,280,11060,5,52,62.8,2212,12.56,10.4,176.114649681529,"行知路",74,165167,74,546,955.96,2231.98648648649,12.9183783783784,7.37837837837838,172.776057575631
